year,departamento,grupo110,ndefun_sinadef,ndefun_inei,diferencia,pct_diferencia,ratio
2017,AMAZONAS,Enfermedades infecciosas intestinales,3,12,9,75.0,0.25
2017,AMAZONAS,Enfermedades isquémicas del corazón,25,109,84,77.06422018348624,0.22935779816513763
2017,AMAZONAS,"Envenenamientos por, y exposición a sustancias nocivas",1,8,7,87.5,0.125
2017,AMAZONAS,Epilepsia y estado de mal epileptico,3,3,0,0.0,1.0
2017,AMAZONAS,Esclerosis multiple,1,0,-1,,
2017,AMAZONAS,Exposición a la corriente eléctrica,2,9,7,77.77777777777779,0.2222222222222222
2017,AMAZONAS,Fiebre reumática aguda y enfermedades cardíacas reumáticas cronicas,2,4,2,50.0,0.5
2017,AMAZONAS,"Hemorragia gastrointestinal (hematemesis, melena y las no especificadas)",1,16,15,93.75,0.0625
2017,AMAZONAS,Hiperplasia de próstata,1,0,-1,,
2017,AMAZONAS,Homicidios (agresiones infligidas por otra persona),3,16,13,81.25,0.1875
2017,AMAZONAS,Incidentes ocurridos al paciente durante la atencion medica y quirurgica,1,6,5,83.33333333333334,0.16666666666666666
2017,AMAZONAS,Infecciones respiratorias agudas bajas,49,247,198,80.16194331983806,0.19838056680161945
2017,AMAZONAS,Insuficiencia cardíaca,15,54,39,72.22222222222221,0.2777777777777778
2017,AMAZONAS,"Insuficiencia renal, incluye la aguda, cronica y la no especificadas",15,60,45,75.0,0.25
2017,AMAZONAS,Insuficiencia respiratoria,12,105,93,88.57142857142857,0.11428571428571428
2017,AMAZONAS,Las demás causas externas,5,153,148,96.73202614379085,0.032679738562091505
2017,AMAZONAS,Lesiones de intención no determinada,7,13,6,46.15384615384615,0.5384615384615384
2017,AMAZONAS,Leucemia,4,40,36,90.0,0.1
2017,AMAZONAS,"Malformaciones congénitas, deformidades y anomalías cromosomicas",11,79,68,86.07594936708861,0.13924050632911392
2017,AMAZONAS,Neoplasia maligna de colon y de la unión rectosigmoidea,2,14,12,85.71428571428571,0.14285714285714285
2017,AMAZONAS,Neoplasia maligna de estómago,9,64,55,85.9375,0.140625
2017,AMAZONAS,Neoplasia maligna de higado y vias biliares,5,53,48,90.56603773584906,0.09433962264150944
2017,AMAZONAS,Neoplasia maligna de la glandula tiroides y de otras glandulas endocrinas,1,0,-1,,
2017,AMAZONAS,Neoplasia maligna de la próstata,5,47,42,89.36170212765957,0.10638297872340426
2017,AMAZONAS,"Neoplasia maligna de la tráquea, los bronquios y el pulmón",2,9,7,77.77777777777779,0.2222222222222222
2017,AMAZONAS,"Neoplasia maligna de los huesos, cartilagos y tejido conjuntivo",1,18,17,94.44444444444444,0.05555555555555555
2017,AMAZONAS,"Neoplasia maligna de los órganos digestivos y del peritoneo, excepto estomago",2,18,16,88.88888888888889,0.1111111111111111
2017,AMAZONAS,Neoplasia maligna de los órganos genitourinarios,1,18,17,94.44444444444444,0.05555555555555555
2017,AMAZONAS,"Neoplasia maligna de ojo, encefalo y de otras partes del sistema nervioso",1,15,14,93.33333333333333,0.06666666666666667
2017,AMAZONAS,Neoplasia maligna de pancreas,2,17,15,88.23529411764706,0.11764705882352941
2017,AMAZONAS,"Neoplasia maligna de sitios mal definidos, de comportamiento incierto y los no especificados",26,17,-9,-52.94117647058824,1.5294117647058822
2017,AMAZONAS,Neoplasia maligna del cuello del útero,6,43,37,86.04651162790698,0.13953488372093023
2017,AMAZONAS,Neoplasia maligna secundaria (metastasis),1,0,-1,,
2017,AMAZONAS,Neoplasias benignas,1,0,-1,,
2017,AMAZONAS,Otras ciertas afecciones originadas en el periodo perinatal,1,14,13,92.85714285714286,0.07142857142857142
2017,AMAZONAS,Otras enfermedades del sistema circulatorio,8,6,-2,-33.33333333333333,1.3333333333333333
2017,AMAZONAS,"Otras enfermedades del sistema nervioso, excepto meningitis",4,19,15,78.94736842105263,0.21052631578947367
2017,AMAZONAS,Otras enfermedades infecciosas y parasitarias,4,8,4,50.0,0.5
2017,AMAZONAS,Paro cardiaco,28,95,67,70.52631578947368,0.29473684210526313
2017,AMAZONAS,Resto de las demas enfermedades,84,12,-72,-600.0,7.0
2017,AMAZONAS,"Septicemia, excepto neonatal",20,111,91,81.98198198198197,0.18018018018018017
2017,AMAZONAS,Suicidios (lesiones autoinfligidas intencionalmente),5,9,4,44.44444444444444,0.5555555555555556
